2026-07-17 16:34:38,586 | INFO | translation-platform | Loading MT5 model...
2026-07-17 19:50:00,230 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/mbart-large-50-many-to-many-mmt/e30b6cb8eb0d43a0b73cab73c7676b9863223a30/tokenizer_config.json "HTTP/1.1 200 OK"
2026-07-17 19:50:00,481 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/facebook/mbart-large-50-many-to-many-mmt/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-07-17 19:50:00,723 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/facebook/mbart-large-50-many-to-many-mmt/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-07-17 19:52:17,085 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/facebook/mbart-large-50-many-to-many-mmt/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-07-17 19:52:17,240 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/mbart-large-50-many-to-many-mmt/e30b6cb8eb0d43a0b73cab73c7676b9863223a30/tokenizer_config.json "HTTP/1.1 200 OK"
2026-07-17 19:52:17,486 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/facebook/mbart-large-50-many-to-many-mmt/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-07-17 19:52:17,732 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/facebook/mbart-large-50-many-to-many-mmt/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-07-17 19:52:19,784 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/facebook/mbart-large-50-many-to-many-mmt "HTTP/1.1 200 OK"
2026-07-17 19:52:20,050 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/facebook/mbart-large-50-many-to-many-mmt/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-07-17 19:52:20,295 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/mbart-large-50-many-to-many-mmt/e30b6cb8eb0d43a0b73cab73c7676b9863223a30/config.json "HTTP/1.1 200 OK"
2026-07-17 19:52:20,536 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/resolve-cache/models/facebook/mbart-large-50-many-to-many-mmt/e30b6cb8eb0d43a0b73cab73c7676b9863223a30/config.json "HTTP/1.1 200 OK"
2026-07-17 19:52:20,821 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/facebook/mbart-large-50-many-to-many-mmt/resolve/main/model.safetensors "HTTP/1.1 302 Found"
2026-07-17 19:52:21,088 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/facebook/mbart-large-50-many-to-many-mmt/xet-read-token/e30b6cb8eb0d43a0b73cab73c7676b9863223a30 "HTTP/1.1 200 OK"
2026-07-17 20:09:22,362 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/facebook/mbart-large-50-many-to-many-mmt/resolve/main/generation_config.json "HTTP/1.1 307 Temporary Redirect"
2026-07-17 20:09:22,615 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/mbart-large-50-many-to-many-mmt/e30b6cb8eb0d43a0b73cab73c7676b9863223a30/generation_config.json "HTTP/1.1 200 OK"
2026-07-17 20:09:22,868 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/resolve-cache/models/facebook/mbart-large-50-many-to-many-mmt/e30b6cb8eb0d43a0b73cab73c7676b9863223a30/generation_config.json "HTTP/1.1 200 OK"
2026-07-17 20:09:23,457 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-07-17 20:09:23,459 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-07-17 20:09:23,488 | INFO | werkzeug |  * Restarting with stat
2026-07-17 20:10:05,516 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/facebook/mbart-large-50-many-to-many-mmt/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-07-17 20:10:05,698 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/mbart-large-50-many-to-many-mmt/e30b6cb8eb0d43a0b73cab73c7676b9863223a30/tokenizer_config.json "HTTP/1.1 200 OK"
2026-07-17 20:10:05,936 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/facebook/mbart-large-50-many-to-many-mmt/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-07-17 20:10:06,202 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/facebook/mbart-large-50-many-to-many-mmt/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-07-17 20:10:08,546 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/facebook/mbart-large-50-many-to-many-mmt "HTTP/1.1 200 OK"
2026-07-17 20:10:08,823 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/facebook/mbart-large-50-many-to-many-mmt/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-07-17 20:10:09,079 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/mbart-large-50-many-to-many-mmt/e30b6cb8eb0d43a0b73cab73c7676b9863223a30/config.json "HTTP/1.1 200 OK"
2026-07-17 20:10:09,490 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/facebook/mbart-large-50-many-to-many-mmt/resolve/main/model.safetensors "HTTP/1.1 302 Found"
2026-07-17 20:10:10,496 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/facebook/mbart-large-50-many-to-many-mmt/resolve/main/generation_config.json "HTTP/1.1 307 Temporary Redirect"
2026-07-17 20:10:10,717 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/mbart-large-50-many-to-many-mmt/e30b6cb8eb0d43a0b73cab73c7676b9863223a30/generation_config.json "HTTP/1.1 200 OK"
2026-07-17 20:10:10,777 | WARNING | werkzeug |  * Debugger is active!
2026-07-17 20:10:10,791 | INFO | werkzeug |  * Debugger PIN: 115-207-918
2026-07-17 20:12:02,416 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 20:12:02] "GET / HTTP/1.1" 200 -
2026-07-17 20:12:03,696 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 20:12:03] "[36mGET /static/play.png HTTP/1.1[0m" 304 -
2026-07-17 20:12:03,725 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 20:12:03] "[36mGET /static/play-and-pause-button.png HTTP/1.1[0m" 304 -
2026-07-17 20:12:03,729 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 20:12:03] "[36mGET /static/stop-button.png HTTP/1.1[0m" 304 -
2026-07-17 20:12:03,744 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 20:12:03] "[36mGET /static/rahnema_college.png HTTP/1.1[0m" 304 -
2026-07-17 20:12:03,749 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 20:12:03] "[36mGET /static/pause.png HTTP/1.1[0m" 304 -
2026-07-17 20:12:03,761 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 20:12:03] "[36mGET /static/plus.png HTTP/1.1[0m" 304 -
2026-07-17 20:12:22,420 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 20:12:22] "POST /upload_file HTTP/1.1" 200 -
2026-07-17 20:12:26,517 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 20:12:26] "GET /translate_line/bart HTTP/1.1" 200 -
2026-07-17 20:12:42,286 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 20:12:42] "POST /upload_file HTTP/1.1" 200 -
2026-07-17 20:12:45,954 | ERROR | translation-platform | HTTP Error: 401 Client Error:  for url: https://api.metisai.ir/api/v1/chat/openai_chat_completion/completions
2026-07-17 20:12:46,151 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 20:12:46] "GET /translate_line/llm HTTP/1.1" 200 -
2026-07-17 20:12:55,757 | ERROR | translation-platform | HTTP Error: 401 Client Error:  for url: https://api.metisai.ir/api/v1/chat/openai_chat_completion/completions
2026-07-17 20:12:55,974 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 20:12:55] "[35m[1mPOST /translate_text/llm HTTP/1.1[0m" 500 -
2026-07-17 20:12:59,815 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 20:12:59] "POST /translate_text/bart HTTP/1.1" 200 -
